"Characteristic","Value"
"Total subjects","31"
"Total subject-days","91"
"Total observations (raw data, before collapsing)","364"
"Total observations (after collapsing duplicates)","364"
"Duplicate rows collapsed","0"
"",""
"Data availability (after collapsing):",""
"  Booklet time, n (%)","326 (89.6%)"
"  MEMs time, n (%)","288 (79.1%)"
"  Sleep Diary wake time, n (%)","364 (100.0%)"
"  Cortisol measurements, n (%)","358 (98.4%)"
"  DHEA measurements, n (%)","345 (94.8%)"
"",""
"Data exclusions:",""
"  Cortisol >80 nmol/L","1"
"  DHEA at detection limit (5.205 nmol/L)","6"
"  Subjects excluded (>25% DHEA at limit)","1"
