"Variable","Total_N","Missing_N","Complete_N","Missing_Percent"
"Study Design:","","","",""
"  Subjects (n)","31","","",""
"  Days per subject","3","","",""
"  Samples per day","4","","",""
"  Total observations","372","","",""
"","","","",""
"Time Variables:","","","",""
"  Collection Date","372","0","372","0.0"
"  Booklet clock time","372","35","337","9.4"
"  MEMs clock time","372","61","311","16.4"
"  Sleep Diary wake time (Sample 1 only)","93","0","93","0.0"
"  Booklet minutes since wake","372","37","335","9.9"
"  MEMs minutes since wake","372","75","297","20.2"
"","","","",""
"Outcome Variables:","","","",""
"  Cortisol (nmol/L)","372","6","366","1.6"
"  DHEA (nmol/L)","372","11","361","3.0"
